season,team,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2025,KIA,3.643333333333333,1.2366666666666666,466.33333333333337,430,2.25,1.393333333333333
2025,KT,3.5199999999999996,1.2733333333333334,472.0,442,3.3,0.21999999999999975
2025,LG,3.3125,1.2875,634.3333333333334,501,3.03,0.2825000000000002
2025,NC,3.99,1.275,345.0,365,3.45,0.54
2025,SSG,3.625,1.245,315.66666666666663,383,2.25,1.375
2025,두산,3.6450000000000005,1.29,320.66666666666663,284,2.81,0.8350000000000004
2025,롯데,4.93,1.48,160.66666666666666,156,4.93,0.0
2025,삼성,2.92,1.09,364.0,250,2.6,0.31999999999999984
2025,키움,4.99,1.37,153.33333333333334,134,4.99,0.0
2025,한화,2.38,0.98,359.3333333333333,459,1.89,0.49
