season,team,team_avg,team_runs,team_hits,team_hr,team_rbi,team_tb,team_pa,team_ab,team_obp,team_slg,team_ops,team_bb,team_so,team_era,team_whip,team_runs_allowed,team_er,team_hr_allowed,team_bb_allowed,team_so_pitcher,team_ip,team_errors,team_fpct,team_dp,team_pb,team_sb_allowed,team_cs_defense,team_cs_rate,team_sba,team_sb,team_cs,team_sb_rate,team_oob,team_runner_pko,run_differential,pythagorean_win_rate,k_bb_ratio,iso,bb_rate,top5_hitter_avg,top5_hitter_hr_sum,top5_hitter_rbi_sum,top5_hitter_ops_avg,top3_hitter_ops_avg,ops_concentration,top5_hitter_obp_avg,top5_hitter_slg_avg,top5_pitcher_era_avg,top5_pitcher_whip_avg,top5_pitcher_ip_sum,top5_pitcher_so_sum,ace_era,ace_era_gap
2025,LG,0.278,788,1366,130,732,2013,5713,4919,0.361,0.409,0.77,604,975,3.79,1.35,584,539,91,491,1080,1279.3333333333333,92,0.983,137,7,95,23,19.5,170,121,49,71.2,49,7,204,0.6454719334719334,2.1995926680244398,0.13099999999999995,0.10572378785226676,0.29359999999999997,43,372,0.7778,0.7873333333333333,1.0122567926630668,0.38079999999999997,0.39699999999999996,3.3125,1.2875,634.3333333333334,501,3.03,0.2825000000000002
2025,삼성,0.271,775,1330,161,728,2090,5671,4899,0.353,0.427,0.78,564,1087,4.12,1.35,647,581,132,455,1048,1268.6666666666667,87,0.984,122,12,107,26,19.5,130,98,32,75.4,53,3,128,0.5892905848902215,2.303296703296703,0.15599999999999997,0.09945335919590902,0.2934,113,454,0.8802,0.91,1.033855941831402,0.377,0.5032,2.92,1.09,364.0,250,2.6,0.31999999999999984
2025,롯데,0.267,676,1318,75,629,1837,5682,4944,0.346,0.372,0.718,530,1030,4.75,1.49,749,676,128,560,1173,1280.0,111,0.979,117,13,104,23,18.1,119,91,28,76.5,51,2,-73,0.44890601654064877,2.094642857142857,0.10499999999999998,0.09327701513551566,0.29666666666666663,25,222,0.7833333333333333,0.7833333333333333,1.0,0.36833333333333335,0.415,4.93,1.48,160.66666666666666,156,4.93,0.0
2025,한화,0.266,689,1303,116,643,1933,5547,4892,0.335,0.395,0.73,439,1038,3.55,1.27,554,509,102,450,1339,1290.3333333333333,86,0.984,100,11,96,39,28.9,139,101,38,72.7,50,15,135,0.6073420270534788,2.9755555555555557,0.129,0.07914187849287903,0.2893333333333334,63,269,0.8293333333333334,0.8293333333333334,1.0,0.357,0.4723333333333333,2.38,0.98,359.3333333333333,459,1.89,0.49
2025,두산,0.262,647,1298,102,592,1898,5581,4952,0.331,0.383,0.714,469,1169,4.3,1.38,686,612,109,542,1054,1280.0,120,0.977,123,12,103,43,29.5,187,144,43,77.0,58,8,-39,0.47076770823375935,1.944649446494465,0.121,0.08403511915427343,0.298,42,214,0.8186666666666667,0.8186666666666667,1.0,0.3706666666666667,0.44799999999999995,3.6450000000000005,1.29,320.66666666666663,284,2.81,0.8350000000000004
2025,NC,0.26,732,1254,128,685,1921,5570,4816,0.344,0.399,0.743,504,1090,4.82,1.5,766,680,146,621,1075,1270.0,116,0.978,119,7,80,36,31.0,250,186,64,74.4,45,14,-34,0.4773147570774466,1.7310789049919484,0.139,0.09048473967684022,0.2656,47,271,0.7572,0.8029999999999999,1.060486001056524,0.3588,0.3984,3.99,1.275,345.0,365,3.45,0.54
2025,KIA,0.258,668,1276,144,624,1972,5619,4944,0.335,0.399,0.734,526,1211,4.66,1.43,734,660,110,511,1058,1274.6666666666667,123,0.977,127,8,111,41,27.0,99,77,22,77.8,44,7,-66,0.4530284878880789,2.0704500978473583,0.14100000000000001,0.09361096280476953,0.27375,82,269,0.8152499999999999,0.8353333333333333,1.0246345701727486,0.3515,0.46375,3.643333333333333,1.2366666666666666,466.33333333333337,430,2.25,1.393333333333333
2025,SSG,0.256,609,1249,127,578,1833,5517,4875,0.33,0.376,0.706,493,1159,3.63,1.3,576,517,115,510,1193,1283.3333333333333,106,0.98,139,4,110,46,29.5,176,129,47,73.3,40,3,33,0.527826521332599,2.33921568627451,0.12,0.08936015950697843,0.27725,46,228,0.747,0.7496666666666667,1.003569834895136,0.34475,0.40225,3.625,1.245,315.66666666666663,383,2.25,1.375
2025,KT,0.253,648,1228,104,613,1788,5588,4845,0.337,0.369,0.706,555,1044,4.09,1.4,657,581,112,433,1067,1278.3333333333333,103,0.981,105,6,128,32,20.0,72,48,24,66.7,40,9,-9,0.49310377627699037,2.464203233256351,0.11599999999999999,0.09931997136721546,0.288,40,182,0.816,0.816,1.0,0.381,0.435,3.5199999999999996,1.2733333333333334,472.0,442,3.3,0.21999999999999975
2025,키움,0.244,581,1202,104,540,1771,5508,4935,0.312,0.359,0.671,439,1221,5.39,1.57,860,760,146,550,937,1269.0,119,0.977,111,13,107,53,33.1,98,83,15,84.7,38,5,-279,0.31338026534566327,1.7036363636363636,0.11499999999999999,0.07970225127087872,0.27666666666666667,49,209,0.7923333333333332,0.7923333333333332,1.0,0.35133333333333333,0.441,4.99,1.37,153.33333333333334,134,4.99,0.0
